PI's;lock.fill;;;
Justitieel Complex Schiphol;Duizendbladweg 100;1171 VA;Badhoevedorp;43
Justitieel Complex Zaanstad;Smeet 1;1551 NG;Westzaan;56,8
Justitieel Complex Zeist;Richelleweg 13;3769 AZ;Soesterberg;27,3
PI Achterhoek (Zutphen);Verlengde Ooyerhoekseweg 21;7207 BJ;Zutphen;99,5
Pi Almelo De Karelskamp;Bornsestraat 333;7601 PB;Almelo;138
PI Alphen aan den Rijn Maatschapslaan;Maatschapslaan 1;2404 CA;Alphen aan den Rijn;41,1
PI Alphen aan den Rijn Eikenlaan;Eikenlaan 36;2404 BR;Alphen aan den Rijn;41,1
PI Arnhem;Ir. Molsweg 5;6834 AA;Arnhem;78
PI Dordrecht;Kerkeplaat 25;3313 LC;Dordrecht;56,7
PI Grave;Muntlaan 1;5361 ME;Grave;81,5
PI Haaglanden;Pompstationsweg 32;2597 JW;Den Haag;64,5
PI Heerhugowaard;Copernicusstraat 10;1704 SV;Heerhugowaard;88
PI Krimpen aan den Ijssel;Van der Hoopstraat 100;2921 LD;Krimpen aan den IJssel;53,9
PI Leeuwarden;Holstmeerweg 7;8936 AS;Leeuwarden;163
PI Lelystad;Larserdreef 300;8233 HB;Lelystad;63,5
PI Middelburg;Torentijdweg 1;4337 PE;Middelburg;172
PI NIeuwegein;De Liesbosch 100;3439 LC;NIeuwegein;9,7
PI Rotterdam locatie De Schie;Prof. Jonkersweg 7;3041 JL;Rotterdam;57
PI Rotterdam locatie Hoogvliet;Koddeweg 100;3194 DH;Hoogvliet;74,1
PI Sittard;Op de Geer 1;6135 KN;Sittard;159
PI Ter Apel;Ter Apelervenen 10;9561 MC;Ter Apel;195
PI Utrecht locatie Nieuwersluis;Zandpad 3;3631 NK;Nieuwersluis;18,9
PI Veenhuizen locatie Esserheem;Meidoornlaan 38;9341 AP;Veenhuizen;179
PUI Veenhuizen locatie Groot Bankenbosch;Bankenbosweg 2;9341 BE;Veenhuizen;181
PI Veenhuizen locatie Norgerhaven;Oude Asserstraat 20;9341 BC;Veenhuizen;180
PI Vught;Lunettenlaan 501;5263 NT;Vught;63,6
PI Zuid-Oost locatie Roermond;Keulsebaan 530;6045 GL;Roermond;155
PI Zuid-Oost locatie Ter Peel;Patersstraat 4;5977 NM;Evertsoord;131
PI Zwolle;Huub van Doornestraat 15;8013 NR;Zwolle;104
Pieter Baan Centrum;Carl Barksweg 3;1336 ZL;Almere;48,4
Detentiecentrum Rotterdam;Portelabaan 7;3045 AT;Rotterdam;58
JJI's;person.2.fill;;;
JJI Lelystad;Bosvalkweg 1;8239 AC;Lelystad;63,3
KVJJ Amsterdam;Henri van Veldekehof 29;1064 JG;Amsterdam;45,6
KVJJ Den Haag;De La Reyweg 628;2571 GR;Den Haag;65,5
KVJJ Noord;Hoofdweg 9;9746 TN;Groningen;190
KVJJ Rijnmond;Sleedoornlaan 26;2923 EP;Krimpen a/d IJssel;50,3
KVJJ Zuid;Postweg 88;5915 HB;Venlo;145
PI Veenhuizen locatie JJI De Haven;Oude Asserstraat 20;9341 BC;Veenhuizen;180
RJJI De Hartelborgt;Borgtweg 1;3202 LJ;Spijkenisse;79,5
RJJI De Hunnerberg;Berg en Dalseweg 287;6522 CH;Nijmegen;86,5
RJJI Den Hey-Acker;Galderseweg 7;4836 AB;Breda;74,1
Teylingereind;Rijksstraatweg 24;2171 AL;Sassenheim;63,7
FPC's;cross.case.fill;;;
Centrum voor Transculturele Psychiatrie Veldzicht (Balkbrug);Ommerweg 67;7707 AT;Balkbrug;127
Forensisch Psychiatrisch Centrum De Oostvaarderskliniek (Almere);Carl Barksweg 3;1336 ZL;Almere;48,4
FPC de Kijvelanden;Kijvelandsekade 1;3172 AB;Poortugaal;73,8
FPC De Rooyse Wissel;Wanssumseweg 12A;5807 ES;Oostrum;131
FPC Dr. S. van Mesdag;Helperlinie 2;9722 AZ;Groningen;187
FPC Inforsa;Duivendrechtsekade 55;1096 AH;Amsterdam;33,8
FPC Pompestichting;Weg door Jonkerbos 55;6532 CN;Nijmegen;91,1
FPC Van der Hoeven Kliniek Willem Dreeslaan;Willem Dreeslaan 2;3515 GB;Utrecht;3,9
FPC Van der Hoeven Kliniek Oudlaan (De Wierde);Oudlaan 7;3515 GA;Utrecht;3,5
FPC Van der Hoeven Kliniek Utrechtseweg (de Voorde);Utrechtseweg 272A;3818 EV;Amersfoort;30,6
FPK de Woenselse Poort;Dr. Poletlaan 88;5626 ND;5626 ND;83,8
FPK GGZ Drenthe;Dennenweg 9;9404 LA;Assen;176
FPK Trajectum;Boylerstraat 4;8387 XN;Boschoord;152
