Politiebureau's Utrecht;shield.fill;;;
Politie Houten APU;De Brug 2a;3991 LN;Houten;
Politie Utrecht Bureau Kroonstraat / Paardenveld;Kroonstraat 25;3511 RC;Utrecht;
Politie Utrecht Bureau Marco Pololaan;Marco Pololaan 6;3526 GJ;Utrecht;
Politie Utrecht Ketenbeslaghuis;Schaverijstraat 3;3534 AS;Utrecht;
Politie Utrecht Bureau Kaap Hoorndreef;Kaap Hoorndreef 3;3563 AR;Utrecht;
Politie De Meern;Burgemeester Middelweerdplaats 2;3454 HG;De Meern;
Politie Maarssen;Bisonspoor 333;3605 JV;Maarssen;
Politie Nieuwegein;Schakelstede 75;3431 HC;Nieuwegein;
Politie IJsselstein;Overtoom 1;3401 BK;IJsselstein;
Politie Zeist;Utrechtseweg 141;3702 AC;Zeist;
Politie Bunnik;Singelpark 1;3984 NC;Odijk;
Politie Montfoort;Kasteelplein 5;3417 JG;Montfoort;
Politie Breukelen;Brouwerij 11;3621 AD;Breukelen;
Politiebureau's Amsterdam;shield.fill;;;
Basisteam Centrum Amstel;IJ-tunnel 2;1011 TA;Amsterdam;
Basisteam Centrum Burgwallen;Nieuwezijds Voorburgwal 35;1012 RD;Amsterdam;
Basisteam Centrum Jordaan;Lijnbaansgracht 219;1017 PH;Amsterdam;
Basisteam West Haarlemmerweg;Houtmankade 34;1013 MX;Amsterdam;
Basisteam Oost Watergraafsmeer;Linnaeusstraat 111;1093 EN;Amsterdam;
Basisteam Oost Zeeburg;Atje Keulen-Deelstrastraat 2;1095 NA;Amsterdam;
Basisteam Boven-IJ;Rode Kruisstraat 79;1025 KM;Amsterdam;
Basisteam Zuid-De Pijp;President Kennedylaan 11;1079 MB;Amsterdam;
Basisteam West Overtoomsesluis;Hoofdweg 785;1055 SC;Amsterdam;
Basisteam Nieuw West Noord;Postjesweg 179;1062 JN;Amsterdam;
Basisteam Zuid Buitenveldert;Van Leijenberghlaan 15;1082 GC;Amsterdam;
Basisteam Amstelland - oost;D.J. den Hartoglaan 5;1111 RC;Diemen;
Politie Amsterdam Nieuw West Zuid (CNW);Meer en Vaart 284;1068 LE;Amsterdam;
Politie Amsterdam Zuidoost Bijlmermeer (CZO);Flierbosdreef 15;1102 BV;Amsterdam;
Hoofdbureau Regionale Eenheid Amsterdam;Elandsgracht 117;1016 TT;Amsterdam;
Politiebureau's Flevoland;shield.fill;;;
Politiebureau Almere Baljuwstraat;Baljuwstraat 2;1315 HG;Almere;
Politiebureau Almere Operetteweg;Operetteweg 5a;1323 VJ;Almere;
Politiebureau Almere Giraffeweg;Giraffeweg 7 en 9;1338 EH;Almere;
Politiebureau Lelystad;De Doelen 1001;8233 GR;Lelystad;
